#class	isNamedIndividual	Description
RegularWalkingPatternMaintaining	true	Regular Walking Pattern Maintaining is the ability to walk in a regular pattern without interruption. Especially for quadrupedal walking this is a measure for intact locomotion and interlimb coupling.
FootprintAnalysisTest	false	Footprint Analysis Test is the examination of the footprints of walking animals.
DeliveryMethod	false	Delivery method is a standadized procedure of administration of medication, cells implants or other therapeutical substances to a subject.
ElectricFieldStrength	false	Electric Field Strength is the strength of an applied electric field measured in V/m.
MacrophageCell	false	Macrophage cell is a mononuclear phagocyte present in variety of tissues, typically differentiated from monocytes, capable of phagocytosing a variety of extracellular particulate material, including immune complexes, microorganisms, and dead cells.
Distance	false	Distance is the physical length measured in any unit (e.g. µm, mm).
Riluzole	false	Riluzole is a glutamate antagonist used as an anticonvulsant and to prolong the survival of patients with Amyotrophic Lateral Sclerosis.
Diazepam	false	Diazepame is a benzodiazepine with anticonvulsant, anxiolytic, sedative, muscle relaxant, and amnesic properties and a long duration of action. Its actions are mediated by enhancement of GAMMA-AMINOBUTYRIC ACID activity.
DNA	false	DNA or desoxyribonucleic acid is a deoxyribonucleotide polymer that is the primary genetic material of all cells. Eukaryotic and prokaryotic organisms normally contain DNA in a double-stranded state, yet several important biological processes transiently involve single-stranded regions. DNA, which consists of a polysugar-phosphate backbone possessing projections of purines (adenine and guanine) and pyrimidines (thymine and cytosine), forms a double helix that is held together by hydrogen bonds between these purines and pyrimidines (adenine to thymine and guanine to cytosine).
DistractorDevices	false	Distractor Device is a device used for distraction models of spinal cord injury which  involve controlled stretching of the cord aiming to simulate the tension forces experienced by the cord in spinal cord injury.
ThermalHyperalgesiaTest	false	Thermal Hyperalgesia Test as the Plantar Test measures the abnormal pain reaction to a normally painless thermal stimulus.
StatisticalTest	false	Statistical  Test is a group of mathematical operations used to determine the statistical significance of an observation.
RabbitSpecies	false	Rabbit Species is the taxonomic family Leporidae.
NarrowBeamTest	false	Narrow Beam Test is the examination of the ability of an animal to cross a narrow beam. Tests for paw placement and balance.
SodiumPentobarbital	false	Sodium Pentobarbital is a short-acting barbiturate that is effective as a sedative and hypnotic (but not as an anti-anxiety) agent and is usually given orally. It is prescribed more frequently for sleep induction than for sedation but, like similar agents, may lose its effectiveness by the second week of continued administration. (From AMA Drug Evaluations Annual, 1994, p236)
ExperimentalGroup	false	Experimental group is a set of individuals of defined organism model, injury model and treatment model in the context of a study.
StandardDeviation	false	Property of the  Normal Distribution  Continuous frequency distribution of infinite range. Its properties are as follows: 1, continuous, symmetrical distribution with both tails extending to infinity; 2, arithmetic mean, mode, and median identical; and 3, shape completely determined by the mean and standard deviation.
VegetableOil	false	Vegetable oil is an oil derived from plants or plant products.
DehydroEpiandrosteroneSulfate	false	androsterone sulfate [Supplementary Concept] RN given refers to (3alpha,5alpha)-isomer
NonNeuronalCellChangesTest	false	Non-neuronal Changes Test is the examination of changes in any other cell types than neurons with histological methods.
HartleyGuineaPig	true	Hartley Guinea Pig is an albino outbred guinea pig belonging to the English (short-haired) breed. The Hartley guinea pig was imported from the Medical Research Council, Millhill, England, to Charles River in 1968 for propagation. The animal is a crepuscular mammalian herbivore that is tailless with short legs and a large head. The Hartley Guinea Pig has a white coat color (acromelanic albino) and red eyes and requires a nutritional source of vitamin C to sustain normal function. The Hartley guinea pig is used as an animal model for studying human diseases and toxins harmful to man, as well as the development of serums and vaccines.
Cannula	true	Cannula is a short, hollow cylinder or tube for insertion into a canal, vessel, or body cavity.
NonFunctionalTest	false	Non-functional Test is the Investigation method which is performed with tissue, liquids or organs of the subject but does not require it's functionality. In most cases this test is applied after the subjects death as for histological investigation methods. It can also comprise detection of molecules in the living organism's body liquids.
Publication	false	Publication comprises any information about a scientific article.
AntiCD11dAntibody	false	AntiCD11d Antibody is an antibody recognizing the CD11d cell surface antigen (the integrin ad subunit)
Age	false	Age is the time span of an individuals birth to the current moment of observation stated in days weeks, months or years.
InfiniteHorizonImpactor	false	Infinite Horizon Impactor is an instrument for accurate and specific weight drop on the exposed spinal cord. force: 100-200 kdyn (100-150 kdyn corresponds to mild-moderate injury, 150-200 kdyn to moderate-severe injury)
BalanceAbility	true	Balance Ability is the behavioral quality inhering in a bearer by virtue of having physical steadiness.
ElectromagneticFieldTreatment	false	Electromagnetic Field Treatment is the therapeutic intervention for spinal cord injury using an electromagnetic field usually by external or implanted electrodes.
Adult	true	Adult is a specific age category of the experimental subject as defined by the author. The exact age of an adult organism differs between species.
StemCell	false	Stem cells are undifferentiated cell which can divide and develop into specialized cells.
ContactPlacingResponseTest	false	Contact Placing Response Test is the examination of a reflex elicited by lightly touching the skin of the dorsal side of the foot without joint displacement. The animal responds by lifting the hind leg and placing it upon the obstacle.
CyclosporineA	false	Cyclosporine A is a cyclic undecapeptide from an extract of soil fungi. It is a powerful immunosupressant with a specific action on T-lymphocytes. It is used for the prophylaxis of graft rejection in organ and tissue transplantation. (From Martindale, The Extra Pharmacopoeia, 30th ed).
SpasticityObservation	false	Spasticity Observation is the assessment of muscle spasticity in laboratory animals, which is a form of muscle hypertonia associated with upper motor neuron dysfunction. Resistance to passive stretch of a spastic muscle results in minimal initial resistance (a "free interval") followed by an incremental increase in muscle tone. Tone increases in proportion to the velocity of stretch. Spasticity is usually accompanied by HYPERREFLEXIA and variable degrees of MUSCLE WEAKNESS. (modified From Adams et al., Principles of Neurology, 6th ed, p54)
Matrix	false	Matrix is a biocompatible structure or scaffold implanted as treatments for spinal cord injury, which provides structural support for cells or tissues.
Phenytoine	false	Phenytoine is an anticonvulsant that is used to treat a wide variety of seizures. It is also an anti-arrhythmic and a muscle relaxant. The mechanism of therapeutic action is not clear, although several cellular actions have been described including effects on ion channels, active transport, and general membrane stabilization. The mechanism of its muscle relaxant effect appears to involve a reduction in the sensitivity of muscle spindles to stretch. Phenytoin has been proposed for several other therapeutic uses, but its use has been limited by its many adverse effects and interactions with other drugs.
DogSpecies	true	Dog Species is the taxonomic carnivore family Canidae.
InhalationDelivery	false	Inhalation delivery is the administration of drugs by the respiratory route. It includes insufflation into the respiratory tract.
Dexterity	true	Dexterity is skill in performing tasks, especially with the hands.
LithiumChloride	false	Lithium Chloride is a salt of lithium that has been used experimentally as an immunomodulator.
HistologicalInvestgationTest	false	Histological Investigation Test or Histology is the study of the structure of various tissues of organisms on a microscopic level.
ListerHoodedRat	true	Lister hooded rat is a rat strain. Origin The exact origin of the Lister Hooded rat is obscure, but it was certainly maintained at the Lister Institute in the 1920s. It is not thought to be closely related to the Long Evans rat. This stock was developed at the Lister Institute in the UK and has since become an appropriate stock for behavioural studies. Originally sourced by Charles River UK from GlaxoUK in 1990.  Appearance White with black hood  Strain Characteristics • Susceptible to audiogenic seizures • Docile, highly inquisitive, and easily handled • Superior eyesight compared to albino outbred rat strains due to the pigmented nature of hooded rats • More likely to respond to environmental stimuli and easily trained for a wide range of behavioural studies
LadderRungTest	false	Ladder Rung Test is an examination procedure where the animals walk over a horizontal ladder and missteps are counted and/or rated. Tests for fore- and hindlimb stepping, fine motor control, foot placing accuracy,  sensory motor coordination .
SinglePelletReachingTest	false	Single Pellet Reaching Test is a functional test for skilled forepaw use and gripping. The rat or mouse reaches for pellets with its forepaws and video recordings are analyzed in slow motion.
HarringtonDistractor	true	Harrington Distractor is a spinal cord injury device which causes distraction of the spinal cord. The procedure involves laminectomy at the intended injury location, followed by the placement of modified Harrington hooks under the laminae of the vertebrae one level caudal and one level rostral to the injury target. These hooks are connected to a computer-controlled stepping motor that is used to control the length, speed and duration of distraction.
SpinalWhiteMatter	false	Spinal White Matter is the region of the spinal cord that appears lighter in color than the other type, thr gray matter. It mainly consists of myelinated nerve fibers and contains few neuronal cell bodies or dendrites.
MeanValue	false	Mean Value is the sum of a set of values divided by the number of values in the set.
Forceps	false	Forceps are surgical instruments used in experimental spinal cord injury studies to crush the spinal cord by applying constant force from two sides for a specified duration.
Micropump	true	Micropump is a device that can control and manipulate small fluid volumes. Although any kind of small pump is often referred to as micropump, a more accurate definition restricts this term to pumps with functional dimensions in the micrometer range.
OpenLabelStudy	true	Open label study is a study design where no blinding is in effect: the investigator and participant are aware which intervention is being used for which participant (i.e. not blinded)
Celebocid	false	Celebocid is a well-characterized COX inhibitor with a 10,000-1-fold selectivity for COX-2 [4]. The drug is now widely used for the treatment of inflammatory arthritis and has an excellent safety profile.
NuclearTransfection	true	Nuclear transfection is a technique of transferring DNA into somatic cells or germ lines of experimental animals so that the cells or progeny may express the integrated donor gene.
OlfactoryEnsheathingGliaCell	false	Olfactory Ensheathing Glia are cells of the nervous system which myelinate axons of olfactory system neurons which originate from the olfactory bulb. They can be found in the central and peripheral nervous system where they support regeneration of injured olfactory neuron axons.
PhysiologyTest	false	Physiology Test is the examination of the biological functions concerned with the life-supporting properties, functions, and processes of living organisms or their parts.
ThiopentalSodium	false	Thiopental Sodium is a barbiturate that is administered intravenously for the induction of general anesthesia or for the production of complete anesthesia of short duration.
GlialCell	false	Glial cell is a non-neuronal cell in the nervous system with multiple different functions as maintaining homeostasis, forming myelin, and providing support and protection for neurons.
SpinalCord	false	Spinal Cord is a cylindrical column of tissue that lies within the vertebral canal. It is composed of white matter and gray matter.
CuttingDevice	false	Cutting Device describes a group of surgical instruments with sharp edges to inflict cutting lesions to the spinal cord.
ExperimentalMethod	false	Experimental method is a planned process in the execution of a study design.
SensoryTest	false	Sensory Test is the examination of sensory function as functional investigation method.
AdhesiveRemovalTest	false	Adhesive Removal Test or tape removal test is the examination of sensory function by applying adhesive tape on each forepaw or hindpaw of the animal and measuring the time-to-contact and the time-to-remove them. This behavior implies correct paw and mouth sensitivity (time-to-contact) and correct paw coordination (time-to-remove).
AtorvastatinAT	false	Atorvastatin AT is a pyrrole and heptanoic acid derivative,HYDROXYMETHYLGLUTARYL-COA REDUCTASE INHIBITOR (statin), and ANTICHOLESTEREMIC AGENT that is used to reduce serum levels of LDL-CHOLESTEROL; APOLIPOPROTEIN B; AND TRIGLYCERIDES and to increase serum levels of HDL-CHOLESTEROL in the treatment of HYPERLIPIDEMIAS and prevention of CARDIOVASCULAR DISEASES in patients with multiple risk factors.
FineMotorControlAbility	true	Fine Motor Function is the ability to coordinate of small muscle movements which occur in body parts such as the fingers, usually in coordination with the eyes.
Neurotrophin3	false	Neurotrophin-3 or NT-3 (257 aa, ~29 kDa) is encoded by the human NTF3 gene. This protein plays a role in the survival of sensory neurons.
SpinalCordStrapper	true	Spinal Cord Strapper is a custom made spinal cord injury device which is used in animal studies and causes compression injuries to the spinal cord.
Proliferation	true	Prolieferation is all of the processes involved in increasing CELL NUMBER including CELL DIVISION.
Location	false	Location is a spatial region or named place. It is further a position, site, or point in space where something can be found.
Epidural	false	Epidural is the anatomical location distal to the dura mater referred to the spinal cord tissue. Substances injected epidurally must cross the dura to reach the spinal cord tissue.
FemoralVeinLocation	true	Femoral Vein Location is the anatomical region for substance application in the  vein accompanying the femoral artery in the same sheath; it is a continuation of the popliteal vein and becomes the external iliac vein.
Anaesthetic	false	Anaesthetic is the type or substance of anasthaesia applied to a subject during surgery.
UTADistractor	true	UTA Distractor or University of Texas at Arlington (UTA) distractor is a device for inflicting distractor spinal cord injuries. The UTA distractor uses custom clips that are affixed securely to the vertebral body. These clamps are attached to linear actuators that simultaneously distract two vertebrae (T9 and T11) caudorostrally. It is relatively noninvasive, as a laminectomy is not performed, and computer software is able to record the force delivered to the spinal cord during the injury.
Dislocation	false	Dislocation is a displacement of a part of the spinal cord from its normal position.
Inosine	false	Inosine is a purine nucleoside that has hypoxanthine linked by the N9 nitrogen to the C1 carbon of ribose. It is an intermediate in the degradation of purines and purine nucleosides to uric acid and in pathways of purine salvage. It also occurs in the anticodon of certain transfer RNA molecules. (Dorland, 28th ed)
Syringe	true	Syringe is an instruments used for injecting or withdrawing fluids. (Stedman, 25th ed)
HemorrhageTest	false	Hemorrhage Test is the histological examination of bleeding or escape of blood from a vessel.
Poloxamer	false	Poloxamer is a nonionic polyoxyethylene-polyoxypropylene block co-polymer with the general formula HO(C2H4O)a(-C3H6O)b(C2H4O)aH. It is available in different grades which vary from liquids to solids. It is used as an emulsifying agent, solubilizing agent, surfactant, and wetting agent for antibiotics. Poloxamer is also used in ointment and suppository bases and as a tablet binder or coater. (Martindale The Extra Pharmacopoeia, 31st ed)
GastricUlcerogenesisTest	false	Gastric Ulcerogenesis Test is the observation of the formation of ulcers in the stomach. Ulcer is a lesion on the surface of the skin or a mucous surface, produced by the sloughing of inflammatory necrotic tissue.
LesionVolumeTest	false	Lesion Volume Test is the histological examination of the damaged or abnormal tissue after spinal cord injury post-mortem.
AxonalSproutingTest	false	Axonal Sprouting Test is the investigation of axonal outgrowth with histological methods, which is different from long-distance axonal regeneration. The process of axonal sprouting results in reformation of a growth cone by the tip of an injured axon, or in collateral sprouting of an injured or uninjured axon. Collateral sprouting is the process in which outgrowths develop from the shafts of existing axons. Long distance axonal sprouting is defined as axonal regeneration.
Neutral	true	Neutral is a property of a result of a study and means that the subject experiences neither advantages nor disadvantages with regard to the observed function or state. If a treatment is tested against a control situation neutral would mean that the treatment failed to show any benefit for the subject.
DigiGait	true	DigiGait is a high performance digitalimaging system for gait analysis in rat and mouse.
DMSO	false	DMSO or dimethylulfoxide is a highly polar organic liquid, that is used widely as a chemical solvent. Because of its ability to penetrate biological membranes, it is used as a vehicle for topical application of pharmaceuticals. It is also used to protect tissue during CRYOPRESERVATION. Dimethyl sulfoxide shows a range of pharmacological activity including analgesia and anti-inflammation.
Seikagaku	true	Seikagaku is a company which distributes compounds used in spinal cord injury experimental studies, among others.
Dosage	false	Dosage is the concentration of a substance or solution of e.g. cells. It can apply for a treatment substance or an anaesthetic or even an outcome measure if e.g. body fluid is investigated.
HargreavesApparatus	true	Hargreaves Apparatus is a device for measuring cutaneous hyperalgesia/allodynia with thermal stimulation, nociception.  It is also known as Plantar Test.
RepeatedMeasureTrend	false	Repeated Measure Trend is the outcome of an experiment where multiple datapoints are collected from one group during a specified time course. It also describes measurements of recovery.
Gelfoam	true	Gelfoam is a sterile, gelatin-base surgical sponge applied topically as an adjunct to hemostasis when the control of bleeding by conventional procedures is ineffective to reduce capillary ooze or is impractical. (From AMA Drug Evaluations Annual, 1994, p797)
PartialTransection	false	Partial Transection is a process causing spinal cord injury by cutting of the spinal cord, resulting in incomplete spinal cord injury which leaves a certain amount of the grey and/or white matter intact.
TouchSensation	true	Touch Sensation is the ability to sense skin contact via receptors in the skin.
KeepingCondition	false	Keeping condition summarizes the circumstances under which an animal is kept. Keeping conditinons are defined by the animal care taker or the experimentator.
Ibuprofen	false	Ibuprofen is a nonsteroidal anti-inflammatory agent with analgesic properties used in the therapy of rheumatism and arthritis.
OpenFieldTest	false	Open Field Test is a functional test for locomotion in an open field where the animal can move freely. There are multiple aspects that can be monitored in this arrangement. Usually, neurologic scales are used to grade the animals locomotor skills.
BALB_C_Mouse	true	Balb_C_Mouse or Balb/c Mouse is a mouse derived from albino mice stocks originally disseminated by Bagg (1913) to Snell in 1932 that has an albino coat with genotype A,b,c. The BALB/c mouse develops plasmacytomas upon injection with mineral oil, which form the mouse cell component of the mouse-human hybrid cells that are used in the production of monoclonal antibodies. This strain exhibits excellent breeding performance and a long life span which contribute to its being one of the most highly utilized of all available mouse strains.
Pregabalin	false	Pregabalin is a gamma-aminobutyric acid (GABA) derivative that functions as a calcium channel blocker and is used as an anticonvulsant as well as an anti-anxiety agent. It is also used as an analgesic in the treatment of neuropathic pain and fibromyalgia.
NektarTherapeuticsInc	true	Nektar Therapeutics INC  is a company which distributes compounds used in spinal cord injury experimental studies, among others.
Contusion	false	Contusion is a process which leads to spinal cord lesion by inflicting mechanical force on the spinal cord from one side for a short moment.  "Contusion devices are designed to inflict a transient, acute injury to the spinal cord. The category includes weight-drop apparatuses,electromagnetic impactors and a recently described air gun device."doi:10.1038/sc.2014.91
SpinalCentralPart	false	Spinal Central Part is the tissue in the spinal cord which is in the center, i.e. in the area of the central canal and surrounding tissue.
UmbilicalCordBloodStemCell	false	Umbilical Cord Blood Stem Cells are pluripotent stem cells which are collected from the cord blood after child birth.
MinipigSpecies	true	Minipig Species is a family of  miniature pigs (also mini pig, or micro pig, or teacup pig) which is a breed of pig developed and used for medical research or for use as a pet. Miniature pigs weigh between 75 pounds (34 kg) to 150 pounds (68 kg) when fully grown, while farm pigs may weigh more than 700 pounds (320 kg). They were first used for medical research in Europe before being introduced to the United States in the 1980s.
SC58125	false	SC58125 is a COX-2 inhibitor with the chemical structure 1-((4-methylsulfonyl)phenyl)-3-trifluoromethyl-5-(4-fluorophenyl)pyrazole .
TailVeinLocation	true	Tail Vein Location is the anatomical region of the vein that returns blood from the tail to the heart in animals where substances can be applied to.
Weight	false	Weight is a physical quality inhering in a bearer that has mass near a gravitational body. Any weight measured in µg, g or other units.
InjuryArea	false	Injury Area is the damaged area inside the spinal cord which spans between complete (e.g. a complete transection) or only very small like in a ventral lesion.
Trend	false	Trend is the outcome or result of an investigative test.
SpinalGrayMatter	false	Spinal Gray Matter is the region of the spinal cord that appears darker in color than the other type.  It is composed of neuronal cell bodies, neuropil, glial cells, capillaries but few myelinated nerve fibers.
Caudal	false	Caudal is the anatomical location constituting or relating to a tail; situated near the tail.
C6	true	C6 is the sixth of the seven cervical vertebrae.
C7	true	C7 is the seventh of the seven cervical vertebrae.
C2	true	C2 is the second of the seven cervical vertebrae.
C3	true	C3 is the third of the seven cervical vertebrae.
Lentivirus	false	Lentivirus is a genus of the family RETROVIRIDAE consisting of non-oncogenic retroviruses that produce multi-organ diseases characterized by long incubation periods and persistent infection. Lentiviruses are unique in that they contain open reading frames (ORFs) between the pol and env genes and in the 3' env region. Five serogroups are recognized, reflecting the mammalian hosts with which they are associated. HIV-1 is the type species.
C4	true	C4 is the fourth of the seven cervical vertebrae.
Micropipette	true	Micropipette is a laboratory tool commonly used in chemistry, biology and medicine to transport a measured volume of liquid, often as a media dispenser.
C5	true	C5 is the fifth of the seven cervical vertebrae
Duration	false	Duration is a temporal measurement of the time between two specified points.
RocheMexico	true	Roche Mexico is a company which distributes compounds used in spinal cord injury experimental studies, among others.
MacaqueMonkey	true	A genus of the subfamily CERCOPITHECINAE, family CERCOPITHECIDAE, consisting of 16 species inhabiting forests of Africa, Asia, and the islands of Borneo, Philippines, and Celebes.
C1	true	C1 is the first of the seven cervical vertebrae.
P188	false	P188 or Poloxamer 188 is a nonionic linear copolymer having an average molecular weight of 8400.
MASCISImpactor	false	MASCIS Impactor or Multicenter Animal Spinal Cord Injury Study (MASCIS) impactor is an istrument for accurate and specific weight drop on the exposed spinal cord.
CentralNervousSystem	false	Central Nervous System is an anatomical location comprising the brain, spinal cord, and meninges.
BodyTemperatureMeasurement	false	Body temperature measurement is the quantification of a person’s or an animal's body temperature, which is an important indicator of the physiological state. Under experimental conditions, the body temperature is considered one important marker for the overall health state of a subject.
InvestigationMethod	false	Investigation Method is a procedure that yields an experimental outcome (result). Experimental methods can be in vivo, in vitro or in silico procedures that are well described and can be referenced.
ApoptosisTest	false	Apoptosis Test is the histological examination of the mechanisms by which CELL DEATH occurs (compare with NECROSIS and AUTOPHAGOCYTOSIS). Apoptosis is the mechanism responsible for the physiological deletion of cells and appears to be intrinsically programmed. It is characterized by distinctive morphologic changes in the nucleus and cytoplasm, chromatin cleavage at regularly spaced sites, and the endonucleolytic cleavage of genomic DNA; (DNA FRAGMENTATION); at internucleosomal sites. This mode of cell death serves as a balance to mitosis in regulating the size of animal tissues and in mediating pathologic processes associated with tumor growth.
CompressionType	true	The "compression type" describes the type of an uncontrolled compression injury that was caused by an accident.
VentralInjuryArea	true	Ventral Injury Area is the location of damaged spinal cord tissue after a lesion which is in direction to the the front or anterior part - in quadrupedal animals at the lower surface of the body.
NeuronalCellLossTest	false	Neuronal Cell Loss Test is the examination of failure of neuroprotection, meaning the decrease in number of neruons.
OSUImpactor	false	OSU or Ohio State University Impactor is an instrument for accurate and specific weight drop on the exposed spinal cord. The procedure involves laminectomy at the target level and spine stabilization using clamping. Similar to the IH impactor, the OSU device uses a computer feedback-controlled electromagnetic impactor. When triggered, a probe contacts and displaces the cord 30 μm to provide a replicable starting point. Then, the instrument compresses the cord a predetermined distance, generally between 0.8 and 1.1 mm, for a set amount of time, ~4 to 5 ms. The OSU device avoids multiple strikes, as the impounder is actively withdrawn.
AxonalChangesTest	false	Axonal Changes Test is the investigation of any changes in axon morphology, physiology or function with histological methods. The axon is a projection of a neuron that conducts electrical impulses away from the neuronal cell body.
ANOVA	true	ANOVA or analysis of variance is a data transformation in which a statistical test of whether the means of several groups are all equal.
UrineVoidingTest	false	Urine Voiding Test or Urination Test is the examination of the discharge of urine, liquid waste processed by the kidney, from the body.
AntiNG2Antibody	false	AntiNG2 Antibody is a neutralizing antibody to NG2, a chondroitin sulfate proteoglycan.
BodyWeightExamination	false	Body Weight Examination is the record of the subjects body weight.
Intrathecal	false	Intrathecal is an anatomical location inside the spinal canal (the canal in successive vertebrae through which the spinal cord passes-Wordnet definition) . For example, intrathecal immunoglobulin production means production of this substance in the spinal cord; intrathecal injection is an injection into the the spinal canal (intrathecal space surrounding the spinal cord), as in a spinal anaesthesia or in chemotherapy or pain management applications.
MinipigModel	false	Minipig Model is an animal that is amenable to experimentation.  A miniature pig (also mini pig, or micro pig, or teacup pig) is a breed of pig developed and used for medical research or for use as a pet. Miniature pigs weigh between 75 pounds (34 kg) to 150 pounds (68 kg) when fully grown, while farm pigs may weigh more than 700 pounds (320 kg). They were first used for medical research in Europe before being introduced to the United States in the 1980s.
ToxicityTest	false	Toxicity Test is the histological examination of toxic processes in the context of secondary degeneration after spinal cord injury.
PValue	false	The P value, or calculated probability, is the probability of finding the observed, or more extreme, results when the null hypothesis (H0) of a study question is true – the definition of ‘extreme’ depends on how the hypothesis is being tested. P is also described in terms of rejecting H0 when it is actually true, however, it is not a direct probability of this state.
BloodBrainBarrierTest	false	Blood Brain Barrier Test is the examination of the functionality of the blood brain barrier, a structure surrounding the central nervous system, consisting of specialized non-fenestrated tightly-joined endothelial cells with tight junctions that form a transport barrier for certain substances between the cerebral capillaries and the brain tissue.
Injury	false	Injury or spinal cord injury is a process which leads to lesion of the spinal cord.
TotalPopulationSize	false	No description provided
Purification	true	Purification is a planned process to separate a material entity into different compositions of which one or more have are purified fractions that contain higher concentration of a desired component, while others contain impurities and are not of interest.
SingleMeasureTrend	false	Single Measure Trend is the outcome of and experiment where only one timepoint per group is investigated.
SpinalVentralHalf	false	Spinal Ventral Half is the spinal tissue from the central canal to the ventral border of the spinal cord tissue.
InjuryByAccidentType	false	The "injury by accident type" describes some type of an uncontrolled injury that was caused by an accident.
PBS	false	PBS or phospate buffered saline solution is a phosphate buffer, prepared from sodium phosphate, potassium phosphate and sodium chloride, where the pH is maintained by a phosphate--phosphoric acid equilibrium..
Rostral	false	Rostral is the anatomical direction to the head.
DislocationType	true	The "dislocation type" describes the type of an uncontrolled dislocation injury that was caused by an accident.
GuineaPigSpecies	false	Guinea Pig Species is the taxonomic genus Cavia.
VerticalGrid	true	Vertical grid is an apparatus consisting of a vertical metal or  plastic grid an animal has to climb. Muscle strength is measured.
MotoRater	true	MotoRater is a standardized quantitative and objective kinematic evaluation of animal movement types for rats and mice.
AsialoEPO	false	Asialoerythropoietin (asialoEPO) is a nonerythrogenic erythropoietin derivative.
AnimalSpecies	false	Animal species is the name specifying one of the basic units of biological classification and taxonomic rank that specifies a group of organisms that share similar characteristics and can interbreed with one another to produce fertile offspring.
InfusionDelivery	false	Infusion delivery is an injection that is continuous.
LethargyObservation	false	Lethargy Observation is the assessment of a general state of sluggishness, listless, or uninterested, with being tired, and having difficulty concentrating and doing simple tasks. For laboratory animals the observation of lack of motion and explorative behaviour is often a sign for lethargy.
Saline	false	Saline is a solution of salt and water. Saline usually refers to normal or physiological saline, which is an aqueous solution containing 0.9% sodium chloride.
SelfMutilationObservation	false	Self Mutilation Observation is the assessment of a laboratory animal biting, eating up or scratching its own body parts to an extend which causes open wounds and even death.
Ketamine	false	Ketamine is a cyclohexanone derivative used for induction of anesthesia. Its mechanism of action is not well understood, but ketamine can block NMDA receptors and may interact with sigma receptors.
GripStrengthMeter	true	Grip Strength Meter is an automatic device, which measures the peak force and time resistance of grip-strenght.
Erythropoietin	false	Erythropoietin is a glycoprotein hormone, secreted chiefly by the kidney in the adult and the liver in the fetus, that acts on erythroid stem cells of the bone marrow to stimulate proliferation and differentiation.
qudt#Quantity	false	No description provided
StaircaseTest	false	Staircase Test is a functional test for independent forelimb reaching and grasping, and for gripping abilities.The animal reaches downwards to grasp pellets on a staircase.
Left	false	Left is the direction toward the side of the body to the west when facing north.
Water	false	Water is a clear, odorless, tasteless liquid that is essential for most animal and plant life and is an excellent solvent for many substances. The chemical formula is hydrogen oxide (H2O). (McGraw-Hill Dictionary of Scientific and Technical Terms, 4th ed)
PhotochemicalInjury	false	No description provided
LaminectomyType	true	The "laminectomy type" describes the type of an uncontrolled laminectomy injury that was caused by an accident.
UnilateralInjuryArea	true	Unilateral Injury Area is the injury are in the spinal cord after a lesion which is asymmetric to one lateral half of the spinal cord.
NumericValue	false	Numeric Value is the measured quantitative value in an experiment.
MonkeyModel	false	Monkey Model is an animal of the Haplorhini family that is amenable to experimentation.   A suborder of primates consisting of six families.
StandardError	false	Property of the  Normal Distribution  Continuous frequency distribution of infinite range. Its properties are as follows: 1, continuous, symmetrical distribution with both tails extending to infinity; 2, arithmetic mean, mode, and median identical; and 3, shape completely determined by the mean and standard deviation.
CorticospinalTract	false	Corticospinal Tract is the spinal segment of the nervous system fiber tract originating in the cortex inside the brain and projecting to the spinal cord.
ImmuneCell	false	Immune cell is a cell of the immune system, including lymphocytes, granulocytes, mast cells, dendritic cells and macrophages/monocytes.
Vibraknife	true	Vibrakniffe is an electronic vibrating sharp blade for cutting the spinal cord.
Retrovirus	false	Retrovirus is a family of RNA viruses that infects birds and mammals and encodes the enzyme reverse transcriptase. The family contains seven genera: DELTARETROVIRUS; LENTIVIRUS; RETROVIRUSES TYPE B, MAMMALIAN; ALPHARETROVIRUS; GAMMARETROVIRUS; RETROVIRUSES TYPE D; and SPUMAVIRUS. A key feature of retrovirus biology is the synthesis of a DNA copy of the genome which is integrated into cellular DNA. After integration it is sometimes not expressed but maintained in a latent state (PROVIRUSES).
TissueSparingTest	false	Tissue Sparing Test is the histological examination of rescue of tissue after injury and is the opposite test to lesion volume measurement.
AirGunImpactor	true	Air Gun Impactor is a spinal cord injury causing device which is used in animal studies. It causes contusion of the spinal cord through compressed air.
CytrexCorporation	true	Cytrex Corporation is a company which distributes compounds used in spinal cord injury experimental studies, among others.
Pregnenolone	false	Pregnenolone is a 21-carbon steroid, derived from CHOLESTEROL and found in steroid hormone-producing tissues. Pregnenolone is the precursor to GONADAL STEROID HORMONES and the adrenal CORTICOSTEROIDS.
PhysicalImplantTreatment	false	Physical Implant Treatment is the therapeutic intervention for spinal cord injury by implanting a device which influences physical attributed of the tissue after spinal cord injury, e.g. implantation of a vertebra stabilizing device.
HeatSensation	true	Heat Sensation is the ability to detect high temperatures with recepors in the skin. It comprises the series of events in which a sensory heat stimulus is converted into a percieved senstation.
OxidativeStressTest	false	Oxidative Stress Test is the histological examination of a disturbance in the prooxidant-antioxidant balance in favor of the former, leading to potential damage. Indicators of oxidative stress include damaged DNA bases, protein oxidation products, and lipid peroxidation products (Sies, Oxidative Stress, 1991, pxv-xvi).  Measurement of Malondialdehyde (MDA) or Myeloperoxidase (MPO) activity is a standard test for oxidative stress.
Blade	false	Blade is a class of sharp cutting instruments like razor blades, scalpels etc.
AtropineSulfate	false	Atropine sulfate is a medication applied to stabilize the heart rate during surgery.
DosageIntracorporal	false	Dosage Intracorporal is the total quantity or strength of a substance administered at one time measured as concentration inside the body, usually as unit/kg body weight.
Person	false	Person is the author of a published study.
